Name,Dominator Rating,Breakout Age,Senior Year?,150 yard Blowup games,200 yard Blowup Games,Draft Capital,YPR,Target Share,RYPTPA OA,Volume - Targets,Volume - Receptions,Volume - Yards,Years?,Film Grade
Henry Ruggs,17.5,25,no,0,0,12,17.4,14.1,2.13,1,1,1,3,25
Jerry jeudy,25.1,19.4,no,0,1,15,17.2,25.1,-0.19,1,1,1,3,25
Ceedee Lamb,38.1,19.4,no,6,0,17,21.4,26.6,3.47,1,1,1,3,25
Jalen Reagor,36.7,18.7,no,3,0,21,14.5,28.1,0.74,1,1,1,3,25
Justin Jefferson,30,19.6,no,2,1,22,15,21.7,1.04,1,1,1,3,25
Brandon Aiyuk,40.6,21.5,no,3,0,25,18.3,29.1,2.99,1,1,1,3,25
Tee Higgins,29.7,18.6,no,3,0,33,19.8,16.2,4.88,1,1,1,3,25
Michael Pittman,32.8,20.9,yes,3,1,34,15.6,26.5,1.24,1,1,1,4,25
Laviska Shenault,35.1,19.9,no,2,1,42,12.7,28.3,2.46,1,1,1,3,25
KJ Hamler,31.7,19.2,no,0,0,46,16.1,25.5,2.18,1,1,1,3,25
Chase Claypool,33.4,21.2,yes,1,0,49,15.7,28.6,0.91,1,1,1,4,25
Van Jefferson,21,22.1,yes,0,0,57,13.9,18,1.13,1,1,1,5,25
Denzel Mims,42.3,19.9,yes,2,0,59,15.5,26,0.75,1,1,1,4,25
Lynn Bowden,26.3,20.9,no,1,0,80,11.4,13.5,0.35,1,1,1,3,25
Bryan Edwards,48.4,17.8,yes,0,0,81,11.5,29.1,1.49,1,1,1,4,25
Devin Duvernay,32.5,22,yes,3,0,92,13.1,26.8,2.89,1,1,1,4,25
Gabriel Davis,34.4,19.4,no,3,0,128,17.2,31.5,0.46,1,1,1,3,25
Antonio Gandy Golden,40.5,19.4,no,3,2,142,16.6,31.7,1.79,1,1,1,3,25
